Date created,Product,Category,Seller,Product link,Impulse,Visual demo,Problem urgency,Price,Commission/margin,Seller reliability,Review quality,Shipping reliability,Low compliance risk,Content angle depth,Trend strength,Audience breadth,Total /120,Tier,Best buyer,Best first angle,Proof assets needed,Main risk,Status
2026-07-25,Expandable pull-out under-sink organizer,Home organization,Amazon (prop purchase - not the eventual TikTok Shop affiliate link),https://www.amazon.com/Expandable-Organizer-Adjustment-Pull-Out-Bathroom/dp/B0FX4D57WB,8,10,9,7,7,7,8,7,10,9,8,8,98,Test,Renters/small-kitchen owners,Mistake correction: you're storing cleaning supplies wrong,Real under-sink footage before/after,Low - none identified,Sourced - ready to order
2026-07-25,Magnetic spice tin set with wall rack,Kitchen tools,TBD,TBD,6,9,5,6,7,7,7,7,9,8,5,7,83,Watch,Small-kitchen cooks,Silent demo: fridge magnet swap in 10 seconds,Kitchen wall/fridge footage,Low,Research
2026-07-25,Silicone stove counter gap covers (2-pack),Kitchen tools,Amazon (prop purchase - not the eventual TikTok Shop affiliate link),https://www.amazon.com/Silicone-Counter-Resistant-Stovetops-Heat-Resistant/dp/B09TT744X9,9,9,8,8,7,7,7,7,9,7,7,7,92,Test,Anyone who cooks at a counter stove,Object POV: crumbs falling into the gap then covered,Real stove/counter footage,Low,Sourced - ready to order
2026-07-25,Collapsible over-the-door drying rack,Home organization,TBD,TBD,6,8,6,6,6,7,7,7,9,7,6,7,82,Watch,Apartment/laundry-limited renters,Comparison split-screen: floor drying vs door rack,Laundry room footage,Low,Research
2026-07-25,Rotating cable and charger organizer box,Desk accessories,TBD,TBD,8,9,7,7,7,7,7,7,9,8,7,7,90,Test,WFH / desk setup audience,Wait it does WHAT reveal: tangled drawer to organized box,Desk cable footage,Low,Research
2026-07-25,Foldable hanging toiletry bag with hook,Travel accessories,TBD,TBD,6,7,5,6,6,7,7,6,9,6,6,7,78,Watch,Frequent travelers,Object POV: hotel bathroom counter clutter fixed,Travel/bathroom footage,Low,Research
2026-07-25,Trunk organizer with adjustable dividers,Car organization,TBD,TBD,4,6,4,5,5,5,6,5,7,5,5,5,67,Reject,Parents/road-trippers,Comparison split-screen: messy trunk vs organized,Car trunk footage,Bulky to ship/film well - below 70 threshold,Research
2026-07-25,Self-cleaning silicone pet hair roller,Pet accessories,TBD,TBD,7,8,6,6,6,6,6,6,7,6,6,6,82,Watch,Pet owners with furniture,Silent demo: roller filling with hair then self-emptying,Pet hair on furniture footage,Claims must match real performance,Research
2026-07-25,Stackable clear pantry bins with labels,Small storage solutions,TBD,TBD,7,9,6,6,7,7,7,7,9,7,6,8,86,Test,Pantry-organization audience,Comparison split-screen: cluttered pantry vs labeled bins,Pantry footage,Low,Research
2026-07-25,One-touch mini jar opener,Convenience tools,Amazon (prop purchase - not the eventual TikTok Shop affiliate link),https://www.amazon.com/Electric-Jar-Opener-Auto-Off-Arthritic/dp/B089SNZD4N,9,9,7,7,7,7,7,7,9,7,8,8,92,Test,Anyone with grip/jar-lid frustration,Mistake correction: stop straining, one-touch instead,Jar-opening footage,Low,Sourced - ready to order
